,Datos,X(intentos totales),Mano dominante ,Altura del saque ,Tiempo del saque
,262,6,Mano Derecha,Arriba de los Hombros,"2,10"
,263,9,Mano Derecha,Arriba de los Hombros,"2,02"
,264,9,Mano Derecha,Arriba de los Hombros,"2,02"
,265,11,Mano Derecha,Arriba de los Hombros,"1,84"
,266,11,Mano Derecha,Arriba de los Hombros,"1,71"
,267,13,Mano Derecha,Arriba de los Hombros,"1,88"
,268,22,Mano Derecha,Arriba de los Hombros,"2,22"
,269,11,Mano Derecha,Arriba de los Hombros,"2,06"
,270,6,Mano Derecha,Arriba de los Hombros,"1,80"
,271,5,Mano Derecha,Arriba de los Hombros,"2,01"
,272,9,Mano Derecha,Arriba de los Hombros,"2,30"
,273,13,Mano Derecha,Arriba de los Hombros,"2,16"
,274,8,Mano Derecha,Arriba de los Hombros,"1,92"
,275,10,Mano Derecha,Arriba de los Hombros,"1,95"
,276,3,Mano Derecha,Arriba de los Hombros,"2,11"
,277,10,Mano Derecha,Arriba de los Hombros,"1,82"
,278,5,Mano Derecha,Arriba de los Hombros,"2,11"
,279,9,Mano Derecha,Arriba de los Hombros,"1,71"
,280,7,Mano Derecha,Arriba de los Hombros,"1,93"
,281,8,Mano Derecha,Arriba de los Hombros,"2,19"
,282,7,Mano Derecha,Arriba de los Hombros,"1,61"
,283,8,Mano Derecha,Arriba de los Hombros,"1,80"
,284,7,Mano Derecha,Arriba de los Hombros,"1,90"
,285,4,Mano Derecha,Arriba de los Hombros,"1,79"
,286,10,Mano Derecha,Arriba de los Hombros,"2,11"
,287,7,Mano Derecha,Arriba de los Hombros,"1,73"
,288,15,Mano Derecha,Arriba de los Hombros,"1,95"
,289,6,Mano Derecha,Arriba de los Hombros,"1,87"
,290,6,Mano Derecha,Arriba de los Hombros,"1,81"
,291,10,Mano Derecha,Arriba de los Hombros,"1,96"
,292,12,Mano Derecha,Arriba de los Hombros,"1,95"
,293,10,Mano Derecha,Arriba de los Hombros,"1,86"
,294,7,Mano Derecha,Arriba de los Hombros,"1,89"
,295,4,Mano Derecha,Arriba de los Hombros,"1,98"
,296,7,Mano Derecha,Arriba de los Hombros,"1,80"
,297,12,Mano Derecha,Arriba de los Hombros,"1,63"
,298,8,Mano Derecha,Arriba de los Hombros,"2,14"
,299,4,Mano Derecha,Arriba de los Hombros,"2,40"
,300,7,Mano Derecha,Arriba de los Hombros,"2,02"
,301,4,Mano Derecha,Arriba de los Hombros,"1,88"
,302,16,Mano Derecha,Arriba de los Hombros,"2,06"
,303,11,Mano Derecha,Arriba de los Hombros,"1,93"
,304,8,Mano Derecha,Arriba de los Hombros,"1,67"
,305,10,Mano Derecha,Arriba de los Hombros,"1,76"
,306,7,Mano Derecha,Arriba de los Hombros,"2,05"
,307,6,Mano Derecha,Arriba de los Hombros,"1,83"
,308,11,Mano Derecha,Arriba de los Hombros,"1,82"
,309,6,Mano Derecha,Arriba de los Hombros,"2,01"
